iter	Passed	Remaining
833	21280	4235
834	21298	4208
835	21322	4182
836	21343	4156
837	21364	4130
838	21383	4103
839	21401	4076
840	21417	4049
841	21433	4022
842	21451	3995
843	21467	3967
844	21484	3940
845	21503	3914
846	21522	3887
847	21540	3860
848	21555	3833
849	21573	3807
850	21592	3780
851	21611	3754
852	21627	3727
853	21645	3700
854	21663	3673
855	21680	3647
856	21700	3621
857	21720	3594
858	21737	3568
859	21757	3541
860	21772	3515
861	21790	3488
862	21808	3462
863	21828	3435
864	21845	3409
865	21863	3382
866	21882	3356
867	21898	3330
868	21916	3303
869	21934	3277
870	21952	3251
871	21968	3224
872	21982	3197
873	21999	3171
874	22017	3145
875	22035	3119
876	22051	3092
877	22067	3066
878	22083	3039
879	22099	3013
880	22116	2987
881	22135	2961
882	22150	2934
883	22168	2908
884	22188	2883
885	22205	2857
886	22221	2830
887	22235	2804
888	22253	2778
889	22271	2752
890	22287	2726
891	22307	2700
892	22325	2675
893	22343	2649
894	22357	2622
895	22375	2597
896	22393	2571
897	22410	2545
898	22426	2519
899	22444	2493
900	22461	2468
901	22479	2442
902	22498	2416
903	22516	2391
904	22530	2365
905	22547	2339
906	22564	2313
907	22581	2288
908	22598	2262
909	22614	2236
910	22632	2211
911	22650	2185
912	22668	2160
913	22688	2134
914	22707	2109
915	22726	2084
916	22741	2058
917	22760	2033
918	22780	2007
919	22797	1982
920	22815	1957
921	22833	1931
922	22851	1906
923	22868	1880
924	22886	1855
925	22903	1830
926	22922	1805
927	22941	1779
928	22957	1754
929	22974	1729
930	22993	1704
931	23012	1679
932	23030	1653
933	23047	1628
934	23066	1603
935	23082	1578
936	23099	1553
937	23116	1527
938	23133	1502
939	23150	1477
940	23168	1452
941	23186	1427
942	23205	1402
943	23223	1377
944	23238	1352
945	23257	1327
946	23275	1302
947	23293	1277
948	23310	1252
949	23331	1227
950	23354	1203
951	23372	1178
952	23389	1153
953	23406	1128
954	23424	1103
955	23441	1078
956	23460	1054
957	23478	1029
958	23496	1004
959	23510	979
960	23529	954
961	23546	930
962	23561	905
963	23578	880
964	23595	855
965	23612	831
966	23629	806
967	23646	781
968	23665	757
969	23683	732
970	23701	707
971	23719	683
972	23737	658
973	23755	634
974	23772	609
975	23789	584
976	23806	560
977	23824	535
978	23841	511
979	23859	486
980	23878	462
981	23897	438
982	23913	413
983	23930	389
984	23948	364
985	23965	340
986	23982	315
987	23999	291
988	24018	267
989	24033	242
990	24050	218
991	24069	194
992	24084	169
993	24104	145
994	24122	121
995	24138	96
996	24154	72
997	24171	48
998	24187	24
999	24206	0
